scope,segment_id,file,variable,count,min,max,mean,median,std,q25,q75,iqr,unit
overall,,,Bx,12467,-7661.917,5332.973,-755.317,-1075.748,2732.358,-2315.593,541.322,2856.915,nT
overall,,,By,12467,-51158.087,45104.692,-889.524,-5246.893,26997.878,-20457.806,24475.208,44933.014,nT
overall,,,Bz,12467,-27448.404,26476.045,-1469.359,-3011.906,18789.394,-20561.309,15148.431,35709.74,nT
overall,,,B_abs,12467,20162.569,51241.468,32031.702,30206.997,8178.225,25152.992,38883.21,13730.219,nT
overall,,,GEO_LAT,12467,-64.254,69.864,0.464,0.407,37.563,-32.147,33.037,,deg
overall,,,GEO_LON,12467,-179.995,179.993,-24.084,-12.355,112.129,-144.899,23.435,,deg
overall,,,ALTITUDE,12467,499.384,518.932,510.791,511.742,5.894,505.534,516.178,,km
overall,,,MAG_LAT,12467,-70.349,71.903,1.345,1.313,38.522,-31.893,34.553,,deg
overall,,,MAG_LON,12467,-122.301,97.93,-11.636,-69.701,86.258,-95.095,73.125,,deg
per_file,,demo_segment_01,Bx,2060,-6662.456,-240.363,-2615.473,-1564.241,1745.417,-3948.855,-1332.876,2615.98,nT
per_file,,demo_segment_01,By,2060,-45481.995,44818.535,335.473,1475.483,28925.323,-27001.443,26872.626,53874.069,nT
per_file,,demo_segment_01,Bz,2060,-24787.853,-7941.936,-19020.592,-20171.681,4849.529,-23355.759,-15395.566,7960.192,nT
per_file,,demo_segment_01,B_abs,2060,24726.784,46648.414,34372.87,33833.21,7104.976,27458.015,41020.547,13562.532,nT
per_file,,demo_segment_01,GEO_LAT,2060,-64.242,64.132,-0.117,-0.15,37.228,-32.435,32.186,,deg
per_file,,demo_segment_01,GEO_LON,2060,-165.315,-124.876,-145.08,-145.074,9.54,-152.039,-138.117,,deg
per_file,,demo_segment_01,ALTITUDE,2060,499.939,517.374,509.554,510.261,5.569,504.432,514.787,,km
per_file,,demo_segment_01,MAG_LAT,2060,-63.013,68.731,2.799,2.767,38.057,-30.156,35.739,,deg
per_file,,demo_segment_01,MAG_LON,2060,-73.454,-69.697,-71.656,-71.72,1.346,-73.03,-70.319,,deg
per_file,,demo_segment_02,Bx,2064,-7661.917,5332.973,1031.908,3460.121,4418.924,-2994.548,4774.408,7768.956,nT
per_file,,demo_segment_02,By,2064,-30990.745,40877.811,-39.941,-9533.705,23919.332,-20813.319,24489.509,45302.828,nT
per_file,,demo_segment_02,Bz,2064,9878.01,26476.045,17115.268,15626.859,5722.586,11613.499,22809.939,11196.44,nT
per_file,,demo_segment_02,B_abs,2064,23599.409,42186.532,29740.884,27612.365,5821.339,24703.64,33875.774,9172.134,nT
per_file,,demo_segment_02,GEO_LAT,2064,-64.18,64.338,0.021,-0.011,37.268,-32.328,32.358,,deg
per_file,,demo_segment_02,GEO_LON,2064,2.756,43.319,23.087,23.098,9.561,16.122,30.065,,deg
per_file,,demo_segment_02,ALTITUDE,2064,501.266,518.833,512.247,513.642,5.698,507.245,517.672,,km
per_file,,demo_segment_02,MAG_LAT,2064,-66.94,64.976,-1.043,-1.075,38.107,-34.04,31.94,,deg
per_file,,demo_segment_02,MAG_LON,2064,95.265,97.93,96.584,96.566,0.973,95.591,97.584,,deg
per_file,,demo_segment_03,Bx,2156,-5217.093,526.842,-2042.015,-1453.179,1743.37,-3660.072,-612.821,3047.251,nT
per_file,,demo_segment_03,By,2156,-49035.218,45104.692,-1257.729,1443.977,30797.894,-31238.51,26734.215,57972.726,nT
per_file,,demo_segment_03,Bz,2156,-26220.367,-4600.19,-18970.257,-20186.257,5833.939,-24066.528,-14771.185,9295.343,nT
per_file,,demo_segment_03,B_abs,2156,25623.386,49525.694,35963.166,35502.435,7606.412,28534.184,42989.595,14455.411,nT
per_file,,demo_segment_03,GEO_LAT,2156,-64.247,69.864,2.869,2.862,38.94,-30.939,36.695,,deg
per_file,,demo_segment_03,GEO_LON,2156,-179.995,179.983,-120.485,-164.485,115.578,-171.383,-154.447,,deg
per_file,,demo_segment_03,ALTITUDE,2156,499.384,517.357,509.037,509.656,5.842,503.537,514.574,,km
per_file,,demo_segment_03,MAG_LAT,2156,-66.774,71.134,2.122,2.089,39.844,-32.383,36.614,,deg
per_file,,demo_segment_03,MAG_LON,2156,-96.427,-93.823,-95.105,-95.055,0.932,-96.059,-94.175,,deg
per_file,,demo_segment_04,Bx,2063,-3793.076,3340.314,618.946,1403.354,2274.123,-1424.541,2727.391,4151.932,nT
per_file,,demo_segment_04,By,2063,-26172.093,41120.448,329.654,-10652.426,22455.298,-18969.453,22589.149,41558.602,nT
per_file,,demo_segment_04,Bz,2063,9025.764,25661.958,16428.211,15126.723,5810.477,11058.029,22232.502,11174.472,nT
per_file,,demo_segment_04,B_abs,2063,20836.926,42377.587,27773.748,24949.345,6493.881,22801.972,32250.235,9448.263,nT
per_file,,demo_segment_04,GEO_LAT,2063,-64.174,64.282,-0.005,-0.037,37.25,-32.339,32.315,,deg
per_file,,demo_segment_04,GEO_LON,2063,-20.877,19.642,-0.581,-0.574,9.554,-7.545,6.392,,deg
per_file,,demo_segment_04,ALTITUDE,2063,501.239,518.855,512.271,513.682,5.713,507.262,517.71,,km
per_file,,demo_segment_04,MAG_LAT,2063,-63.171,68.666,2.686,2.654,38.082,-30.287,35.646,,deg
per_file,,demo_segment_04,MAG_LON,2063,71.292,74.845,73.13,73.184,1.282,71.832,74.457,,deg
per_file,,demo_segment_05,Bx,2060,-2621.631,2238.454,-546.223,-1008.896,1764.674,-2249.888,1238.055,3487.943,nT
per_file,,demo_segment_05,By,2060,-51158.087,42579.413,-6713.109,-5712.324,31099.449,-37666.624,22047.734,59714.358,nT
per_file,,demo_segment_05,Bz,2060,-27448.404,-1251.549,-19740.309,-21335.225,6699.679,-25407.584,-15617.476,9790.108,nT
per_file,,demo_segment_05,B_abs,2060,26599.913,51241.468,37220.086,36438.72,8055.103,29528.328,43601.958,14073.631,nT
per_file,,demo_segment_05,GEO_LAT,2060,-64.254,64.123,-0.128,-0.161,37.23,-32.447,32.176,,deg
per_file,,demo_segment_05,GEO_LON,2060,-179.983,179.993,127.193,164.636,108.217,156.342,171.198,,deg
per_file,,demo_segment_05,ALTITUDE,2060,499.723,517.402,509.426,510.115,5.645,504.225,514.727,,km
per_file,,demo_segment_05,MAG_LAT,2060,-70.349,61.345,-4.568,-4.603,38.04,-37.506,28.356,,deg
per_file,,demo_segment_05,MAG_LON,2060,-122.301,-115.876,-118.684,-118.538,1.992,-120.42,-116.836,,deg
per_file,,demo_segment_06,Bx,2064,-2348.867,165.23,-924.229,-682.847,859.405,-1760.858,-171.058,1589.8,nT
per_file,,demo_segment_06,By,2064,-24069.761,42603.215,2016.596,-7814.819,22118.069,-17477.329,23370.171,40847.501,nT
per_file,,demo_segment_06,Bz,2064,9141.502,24370.351,16090.85,14968.776,5258.185,11087.071,21376.752,10289.681,nT
per_file,,demo_segment_06,B_abs,2064,20162.569,43574.951,26956.748,23438.234,7400.413,21076.127,32100.932,11024.806,nT
per_file,,demo_segment_06,GEO_LAT,2064,-64.168,64.347,0.032,-0.001,37.267,-32.318,32.367,,deg
per_file,,demo_segment_06,GEO_LON,2064,-44.606,-4.04,-24.27,-24.258,9.562,-31.235,-17.291,,deg
per_file,,demo_segment_06,ALTITUDE,2064,501.167,518.932,512.285,513.701,5.762,507.232,517.772,,km
per_file,,demo_segment_06,MAG_LAT,2064,-59.763,71.903,6.029,6.005,38.031,-26.897,38.947,,deg
per_file,,demo_segment_06,MAG_LON,2064,42.423,54.152,49.354,49.666,3.098,46.987,52.003,,deg
per_segment,segment_1,,Bx,2060,-6662.456,-240.363,-2615.473,-1564.241,1745.417,-3948.855,-1332.876,2615.98,nT
per_segment,segment_1,,By,2060,-45481.995,44818.535,335.473,1475.483,28925.323,-27001.443,26872.626,53874.069,nT
per_segment,segment_1,,Bz,2060,-24787.853,-7941.936,-19020.592,-20171.681,4849.529,-23355.759,-15395.566,7960.192,nT
per_segment,segment_1,,B_abs,2060,24726.784,46648.414,34372.87,33833.21,7104.976,27458.015,41020.547,13562.532,nT
per_segment,segment_1,,GEO_LAT,2060,-64.242,64.132,-0.117,-0.15,37.228,-32.435,32.186,,deg
per_segment,segment_1,,GEO_LON,2060,-165.315,-124.876,-145.08,-145.074,9.54,-152.039,-138.117,,deg
